                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4481,                0.67942,                 1.1752,                0.81438,                 0.5952,                0.69663,                0.29295,                 1.9985,                 1.1162,                 1.3134,             0.00066421,             0.00066421,             0.00066421
                      2,                 1.4678,                0.68661,                 1.1779,                0.86808,                0.73991,                0.82694,                0.38709,                  1.892,                0.87449,                 1.2831,              0.0011991,              0.0011991,              0.0011991
                      3,                 1.4605,                0.69793,                 1.1811,                0.77339,                0.64555,                0.74883,                0.37753,                 1.7875,                 1.0102,                 1.2254,               0.001602,               0.001602,               0.001602
                      4,                 1.4668,                0.69784,                 1.1829,                0.87059,                0.77391,                0.84214,                0.42662,                 1.7733,                0.84259,                 1.2257,               0.001406,               0.001406,               0.001406
                      5,                 1.4561,                0.68544,                 1.1743,                0.89623,                0.79193,                0.86738,                0.47205,                 1.6611,                0.74303,                 1.1733,               0.001208,               0.001208,               0.001208
                      6,                  1.429,                0.66285,                   1.16,                0.87308,                0.74776,                0.84275,                0.41704,                 1.8675,                0.82803,                 1.2549,                0.00101,                0.00101,                0.00101
                      7,                  1.412,                0.65722,                 1.1539,                0.92291,                 0.8144,                0.88307,                0.45554,                 1.7436,                0.72006,                 1.2114,               0.000812,               0.000812,               0.000812
                      8,                 1.4088,                0.64762,                 1.1518,                0.89418,                0.76073,                0.85077,                0.41642,                 1.8613,                0.80913,                 1.2841,               0.000614,               0.000614,               0.000614
                      9,                 1.4007,                0.63264,                 1.1462,                0.91279,                 0.8167,                0.87993,                0.45744,                   1.72,                0.70688,                 1.2065,               0.000416,               0.000416,               0.000416
                     10,                 1.3842,                0.62362,                 1.1429,                0.90812,                0.79426,                0.87155,                0.44476,                 1.7885,                 0.7347,                 1.2344,               0.000218,               0.000218,               0.000218
